model_size_label,identity_frame,axis_name,self_recognition_accuracy_mean,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,baseline_vs_contrary_style_distance_mean,baseline_vs_alt_style_distance_mean,n
2.8b,weights_self,collaborative_vs_authoritative,0.0,0.0163136086593893,0.0116303075765711,0.9710565752985916,0.9894289638230968,6
2.8b,weights_self,expansive_vs_terse,0.5,0.0165574408754672,0.0158974933421297,1.7196237977207744,1.09978356066366,6
2.8b,weights_self,selfref_vs_impersonal,0.1666666666666666,0.0036893980857877,0.0083543583109243,1.151804836075757,1.1458940187419926,6
410m,baseline_helpful,cautious_vs_assertive,0.3333333333333333,0.0074715367608973,0.009279357392365,1.444125722521644,0.9458082498362717,6
410m,baseline_helpful,collaborative_vs_authoritative,0.5,0.0112642851286015,0.0171221836021825,0.7339003973241375,1.267939994022149,6
410m,baseline_helpful,expansive_vs_terse,0.0,0.021214018094555,0.0149337452597969,0.9409137245183934,1.1965888899878705,6
410m,baseline_helpful,selfref_vs_impersonal,0.3333333333333333,0.0062144297776212,0.0050736307692151,0.9657196147713036,1.0451395046023106,6
410m,family_self,cautious_vs_assertive,0.5,0.0060455746880693,0.0069667728400091,1.336198118156912,0.7696131601722486,6
410m,family_self,collaborative_vs_authoritative,0.1666666666666666,0.0080528424661816,0.0175068796120803,1.01137134914738,1.284436194998133,6
410m,family_self,expansive_vs_terse,0.3333333333333333,0.0160633464631662,0.0154593300215042,1.1984496586703757,1.1152828656620846,6
410m,family_self,selfref_vs_impersonal,0.3333333333333333,0.0031977122682297,0.0036814366416054,0.5925528169616882,1.3031448824905745,6
410m,instance_self,cautious_vs_assertive,0.1666666666666666,0.0108838409161317,0.0081562263459173,1.0337465817860052,1.3001418832444387,6
410m,instance_self,collaborative_vs_authoritative,0.5,0.0214493390177626,0.0182710014884297,1.3066797881396572,1.500322760301202,6
410m,instance_self,expansive_vs_terse,0.3333333333333333,0.0197895312419712,0.0240449735990881,1.180727933988816,1.2688807943667713,6
410m,instance_self,selfref_vs_impersonal,0.3333333333333333,0.0073434023600569,0.0049037881141057,1.182095394414281,1.3588750001966972,6
410m,tool_only,cautious_vs_assertive,0.6666666666666666,0.0082172229499236,0.0069667728400091,1.0230068826400265,0.7696131601722486,6
410m,tool_only,collaborative_vs_authoritative,0.3333333333333333,0.0192092785039219,0.0175068796120803,1.2607743650876284,1.284436194998133,6
410m,tool_only,expansive_vs_terse,0.3333333333333333,0.0123864201582927,0.0154593300215042,0.7134457794889904,1.1152828656620846,6
410m,tool_only,selfref_vs_impersonal,0.3333333333333333,0.0068609559768851,0.0036814366416054,1.5108021245361236,1.3031448824905745,6
410m,weights_self,cautious_vs_assertive,0.0,0.0076800115409599,0.0089054913643852,1.577471865177871,0.9464369871536324,6
410m,weights_self,collaborative_vs_authoritative,0.3333333333333333,0.0149226777594647,0.0278692558409185,1.872995347412692,1.685268985966286,6
410m,weights_self,expansive_vs_terse,0.3333333333333333,0.0062378013759844,0.008266263917957,0.8003946427266134,1.5795049686518128,6
410m,weights_self,selfref_vs_impersonal,0.0,0.0030521451358229,0.0038831310885233,1.794030976982799,1.6806466266669846,6
70m,baseline_helpful,cautious_vs_assertive,0.0,0.0092364327101416,0.0072622733841223,1.0510772871188272,1.3173539221387618,6
70m,baseline_helpful,collaborative_vs_authoritative,0.3333333333333333,0.0170242872418313,0.0078677040989114,1.04322053316916,0.1373897383650232,6
70m,baseline_helpful,expansive_vs_terse,0.0,0.0104437936901033,0.0051146517527721,1.212140822469981,0.0471634531152097,6
70m,baseline_helpful,selfref_vs_impersonal,0.3333333333333333,0.0079995409401278,0.0040369123965259,1.5471769531245358,0.0831573484024389,6
70m,family_self,cautious_vs_assertive,0.1666666666666666,0.0079944836872953,0.003761912158489,0.9628610809733814,0.643667708891761,6
70m,family_self,collaborative_vs_authoritative,0.5,0.0147125925369133,0.0120512656883381,1.304620305647337,0.2955517080142237,6
70m,family_self,expansive_vs_terse,0.3333333333333333,0.0280909581194901,0.0086534185033554,1.593132165200558,0.2964209384333336,6
70m,family_self,selfref_vs_impersonal,0.5,0.0073820639887939,0.004348596554055,1.636698745760395,0.3345036161103574,6
70m,instance_self,cautious_vs_assertive,0.3333333333333333,0.0070443109925213,0.004039964415535,1.029449681295305,1.0762018589543976,6
70m,instance_self,collaborative_vs_authoritative,0.0,0.0139740183233927,0.0134569308488878,0.9859385034445518,0.3427844648947436,6
70m,instance_self,expansive_vs_terse,0.6666666666666666,0.0137813290873561,0.0104901276776534,1.5622368133793552,0.5146676755571655,6
70m,instance_self,selfref_vs_impersonal,0.0,0.0030912184354855,0.0013681134600488,1.7162423729339549,0.6444191414783429,6
70m,tool_only,cautious_vs_assertive,0.1666666666666666,0.0015448357296229,0.003761912158489,0.4499011306818417,0.643667708891761,6
70m,tool_only,collaborative_vs_authoritative,0.1666666666666666,0.0117386958269408,0.0120512656883381,1.418382924002506,0.2955517080142237,6
70m,tool_only,expansive_vs_terse,0.6666666666666666,0.0176684977260611,0.0086534185033554,1.3905769380936377,0.2964209384333336,6
70m,tool_only,selfref_vs_impersonal,0.1666666666666666,0.0015261565450788,0.004348596554055,1.5424102820144316,0.3345036161103574,6
