model_size_label,identity_frame,axis_name,self_recognition_accuracy_mean,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,baseline_vs_contrary_style_distance_mean,baseline_vs_alt_style_distance_mean,n
410m,tool_only,selfref_vs_impersonal,0.3333333333333333,0.006860955976885105,0.0036814366416054872,1.5108021245361236,1.3031448824905745,6
410m,weights_self,cautious_vs_assertive,0.0,0.007680011540959975,0.008905491364385277,1.577471865177871,0.9464369871536323,6
410m,weights_self,collaborative_vs_authoritative,0.3333333333333333,0.014922677759464723,0.027869255840918535,1.8729953474126921,1.685268985966286,6
410m,weights_self,expansive_vs_terse,0.3333333333333333,0.006237801375984421,0.008266263917957045,0.8003946427266134,1.5795049686518128,6
410m,weights_self,selfref_vs_impersonal,0.0,0.0030521451358229597,0.0038831310885233685,1.7940309769827987,1.6806466266669846,6
70m,baseline_helpful,cautious_vs_assertive,0.0,0.009236432710141679,0.007262273384122358,1.0510772871188272,1.3173539221387618,6
70m,baseline_helpful,collaborative_vs_authoritative,0.3333333333333333,0.01702428724183134,0.007867704098911412,1.04322053316916,0.1373897383650232,6
70m,baseline_helpful,expansive_vs_terse,0.0,0.010443793690103351,0.005114651752772147,1.212140822469981,0.047163453115209725,6
70m,baseline_helpful,selfref_vs_impersonal,0.3333333333333333,0.007999540940127857,0.004036912396525917,1.5471769531245358,0.08315734840243898,6
70m,family_self,cautious_vs_assertive,0.16666666666666666,0.007994483687295327,0.0037619121584890197,0.9628610809733814,0.643667708891761,6
70m,family_self,collaborative_vs_authoritative,0.5,0.014712592536913316,0.012051265688338171,1.3046203056473373,0.29555170801422376,6
70m,family_self,expansive_vs_terse,0.3333333333333333,0.02809095811949015,0.008653418503355437,1.5931321652005581,0.29642093843333367,6
70m,family_self,selfref_vs_impersonal,0.5,0.0073820639887939065,0.004348596554055012,1.636698745760395,0.33450361611035745,6
70m,instance_self,cautious_vs_assertive,0.3333333333333333,0.007044310992521307,0.004039964415535005,1.0294496812953047,1.0762018589543976,6
70m,instance_self,collaborative_vs_authoritative,0.0,0.013974018323392777,0.013456930848887822,0.9859385034445518,0.3427844648947436,6
70m,instance_self,expansive_vs_terse,0.6666666666666666,0.013781329087356152,0.010490127677653413,1.5622368133793552,0.5146676755571655,6
70m,instance_self,selfref_vs_impersonal,0.0,0.0030912184354855918,0.0013681134600488122,1.7162423729339549,0.6444191414783429,6
70m,tool_only,cautious_vs_assertive,0.16666666666666666,0.0015448357296229123,0.0037619121584890197,0.44990113068184173,0.643667708891761,6
70m,tool_only,collaborative_vs_authoritative,0.16666666666666666,0.01173869582694085,0.012051265688338171,1.4183829240025059,0.29555170801422376,6
70m,tool_only,expansive_vs_terse,0.6666666666666666,0.017668497726061102,0.008653418503355437,1.3905769380936375,0.29642093843333367,6
70m,tool_only,selfref_vs_impersonal,0.16666666666666666,0.0015261565450788656,0.004348596554055012,1.5424102820144316,0.33450361611035745,6
70m,weights_self,cautious_vs_assertive,0.0,0.006129136481844316,0.005699670296589013,0.4376108203430655,0.6979765854299388,6
70m,weights_self,collaborative_vs_authoritative,0.16666666666666666,0.015881798102894484,0.009431026869828303,1.4530924146603528,0.38060859552095044,6
