model_size,concept,token_position,layer_bucket,vector_kind,peak_rel_mean,recovery_fraction_mean,total_downstream_change_mean,persistence_mean,next_token_kl_mean,n
2.8b,empathy,0,late,mean_diff,0.027505176762739766,0.0,7.0172545115153,1.0,0.0002657060722412625,48
2.8b,empathy,0,late,random_orthogonal,0.025045046893258854,0.0,6.668261607487996,1.0,0.00025075446577219843,48
2.8b,empathy,0,mid,mean_diff,0.022372616144518003,0.0,14.905282815297445,1.0,0.0006365841745718624,48
2.8b,empathy,0,mid,random_orthogonal,0.02322638748834525,0.0,14.789170900980631,1.0,0.0006467475765626834,48
2.8b,politeness,-1,early,mean_diff,0.016170840380558073,0.001613642136887779,25.256367762883503,0.9983863578631121,0.00039045065993069373,48
2.8b,politeness,-1,early,random_orthogonal,0.01543827352967729,0.003279270537249806,24.143314917882282,0.9967207294627501,0.00029787934984895316,48
2.8b,politeness,-1,late,mean_diff,0.018104447827984847,0.0,6.566508909066518,1.0,0.0017546461021992813,48
2.8b,politeness,-1,late,random_orthogonal,0.01581897673895578,0.0,6.269815643628438,1.0,0.00024285677621562707,48
2.8b,politeness,-1,mid,mean_diff,0.017424790149865,0.010728013707613575,18.522751192251842,0.9892719862923864,0.00038365089009549587,48
2.8b,politeness,-1,mid,random_orthogonal,0.016136483114678364,0.0005227391160945813,15.293950577576956,0.9994772608839054,0.0002964392914084604,48
2.8b,politeness,0,early,mean_diff,0.0229429953421155,0.0,23.872056643168133,1.0,0.0006447895181432708,48
2.8b,politeness,0,early,random_orthogonal,0.020317899994552083,0.0,21.976105372111004,1.0,0.0005890914878060499,48
2.8b,politeness,0,late,mean_diff,0.027850131193796732,0.0,6.907145579655965,1.0,0.000264217636564918,48
2.8b,politeness,0,late,random_orthogonal,0.025060174365838333,0.0,6.666424671808879,1.0,0.00025255324453607344,48
2.8b,politeness,0,mid,mean_diff,0.020702292521794584,0.0,13.785940806070963,1.0,0.0006830263367494626,48
2.8b,politeness,0,mid,random_orthogonal,0.023271854656438,0.0,14.796701272328695,1.0,0.0005366103362878567,48
410m,confidence,-1,early,mean_diff,0.06626165130486088,0.0,13.940398613611857,1.0,0.0008223520053433687,48
