evaluator_revision,source_revision,n,avg_logprob_mean,avg_logprob_ci95_low,avg_logprob_ci95_high,perplexity_mean,perplexity_ci95_low,perplexity_ci95_high,self_preferred_mean,self_preferred_ci95_low,self_preferred_ci95_high,distance_from_diagonal_mean,distance_from_diagonal_ci95_low,distance_from_diagonal_ci95_high,diagonal_margin_logprob_mean,diagonal_margin_logprob_ci95_low,diagonal_margin_logprob_ci95_high
step16000,step128000,6,-1.181495686372121,-1.4335674799978733,-0.939888467391332,3.4386698271139227,2.5813118931476615,4.352291885258401,0.5,0.16666666666666666,0.8333333333333334,112000.0,112000.0,112000.0,-0.07416575153668721,-0.27888429164886475,0.13055278857549033
step16000,step143000,6,-1.0656293332576752,-1.2329471021890641,-0.8985815611978377,2.971172919247975,2.4740361505076014,3.4693911138522657,0.5,0.16666666666666666,0.8333333333333334,127000.0,127000.0,127000.0,-0.07416575153668721,-0.27888429164886475,0.13055278857549033
step16000,step16000,6,-0.965896725654602,-1.2399522264798482,-0.7009252806504568,2.781903946733286,2.0377314568522404,3.574180526853811,0.5,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,-0.07416575153668721,-0.27888429164886475,0.13055278857549033
step16000,step4000,6,-1.0014946858088176,-1.1686500822504362,-0.8728324969609579,2.77000280137447,2.3989236945632744,3.2763193126569274,0.5,0.16666666666666666,0.8333333333333334,12000.0,12000.0,12000.0,-0.07416575153668721,-0.27888429164886475,0.13055278857549033
step16000,step64000,6,-1.2543131907780964,-1.4371182918548584,-1.0469533205032349,3.601879198917825,2.9237385333788755,4.243802359610558,0.5,0.16666666666666666,0.8333333333333334,48000.0,48000.0,48000.0,-0.07416575153668721,-0.27888429164886475,0.13055278857549033
step4000,step128000,6,-1.4074508150418599,-1.6338535527388254,-1.1779964566230774,4.251913899870822,3.3421297521245084,5.234137383645357,0.5,0.16666666666666666,0.8333333333333334,124000.0,124000.0,124000.0,0.1055490771929423,-0.07060007750988005,0.2817275911569595
step4000,step143000,6,-1.2579219043254852,-1.4248298009236653,-1.0863654216130574,3.6050532407330302,3.0397723994168797,4.15865291010327,0.5,0.16666666666666666,0.8333333333333334,139000.0,139000.0,139000.0,0.1055490771929423,-0.07060007750988005,0.2817275911569595
step4000,step16000,6,-1.2131620744864147,-1.5033059880137445,-0.9280556107560793,3.5904141923983057,2.5718962700009143,4.65462160272752,0.5,0.16666666666666666,0.8333333333333334,12000.0,12000.0,12000.0,0.1055490771929423,-0.07060007750988005,0.2817275911569595
step4000,step4000,6,-0.9811252653598785,-1.0710880657037098,-0.9114170476794243,2.680852584976931,2.490399847868417,2.934839410152856,0.5,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.1055490771929423,-0.07060007750988005,0.2817275911569595
step4000,step64000,6,-1.46455321709315,-1.698524256547292,-1.2158639232317607,4.526439415331921,3.4338913197841756,5.625786513042635,0.5,0.16666666666666666,0.8333333333333334,60000.0,60000.0,60000.0,0.1055490771929423,-0.07060007750988005,0.2817275911569595
step64000,step128000,6,-1.1297073264916737,-1.4003005425135293,-0.859857722868522,3.2963089082044017,2.390246901424195,4.202476697399143,0.16666666666666666,0.0,0.5,64000.0,64000.0,64000.0,-0.24518472949663797,-0.4952239791552226,-0.006799799948930775
step64000,step143000,6,-1.0474793314933777,-1.2390142858028412,-0.8518025676409403,2.9320135516747805,2.388016529003776,3.4696001643391066,0.16666666666666666,0.0,0.5,79000.0,79000.0,79000.0,-0.24518472949663797,-0.4952239791552226,-0.006799799948930775
step64000,step16000,6,-1.0619919896125793,-1.3669247048596542,-0.758042554060618,3.1146540762833332,2.160217103969907,4.134043896644989,0.16666666666666666,0.0,0.5,48000.0,48000.0,48000.0,-0.24518472949663797,-0.4952239791552226,-0.006799799948930775
