model_size,concept,token_position,layer_bucket,vector_kind,peak_rel_mean,recovery_fraction_mean,total_downstream_change_mean,persistence_mean,next_token_kl_mean,n
160m,confidence,-1,mid,linear_probe,0.011320897770929098,0.0,4.767646832764148,1.0,0.021752015009405972,160
160m,confidence,-1,mid,mean_diff,0.010532990223145994,0.0,4.777574117481708,1.0,0.020841962995473244,160
160m,confidence,-1,mid,random_orthogonal,0.011488584557082451,0.0,4.814772669970989,1.0,0.019161700792028523,160
160m,confidence,0,early,linear_probe,0.03304489151923913,0.0021157686943306187,12.34353782236576,0.9978842313056694,0.009741089724047875,320
160m,confidence,0,early,mean_diff,0.029998919373610943,0.0,9.070103973150253,1.0,0.009498339459241783,320
160m,confidence,0,early,random_orthogonal,0.03248725912999356,0.03337063715484713,17.185006394982338,0.9666293628451529,0.010363342253549441,320
160m,confidence,0,late,linear_probe,0.00730390955868637,0.0,1.720930179581046,1.0,0.004922800158237756,320
160m,confidence,0,late,mean_diff,0.007005084451520765,0.0,1.6693112384527922,1.0,0.005236130518187515,320
160m,confidence,0,late,random_orthogonal,0.007667267214856062,0.0,1.7739058174192905,1.0,0.005353084029320549,320
160m,confidence,0,mid,linear_probe,0.007189618656411731,0.0,4.185326799750328,1.0,0.0076825026662845144,160
160m,confidence,0,mid,mean_diff,0.006477507646195538,0.0,4.199266046285629,1.0,0.007163528229284515,160
160m,confidence,0,mid,random_orthogonal,0.007359037495916644,0.0,4.245504900813103,1.0,0.008236257667522246,160
160m,empathy,-1,early,linear_probe,0.013552810174587602,0.0,9.84873757660389,1.0,0.019838600687944512,320
160m,empathy,-1,early,mean_diff,0.012202547499327874,0.0,8.052505482733249,1.0,0.018926942338293833,320
160m,empathy,-1,early,random_orthogonal,0.014028149156365494,0.0,9.628376957774162,1.0,0.020900968031492037,320
160m,empathy,-1,late,linear_probe,0.011512631541700055,0.0,2.2974176976829765,1.0,0.019604535755934148,320
160m,empathy,-1,late,mean_diff,0.01105015852372157,0.0,2.2317233353853227,1.0,0.019520542482496194,320
160m,empathy,-1,late,random_orthogonal,0.011940540465002366,0.0,2.3622693680226803,1.0,0.019882231787050793,320
160m,empathy,-1,mid,linear_probe,0.010902831173734692,0.0,4.733705937862396,1.0,0.019476156233577006,160
160m,empathy,-1,mid,mean_diff,0.009800582009484011,0.0,4.607807475328445,1.0,0.018877083460392848,160
160m,empathy,-1,mid,random_orthogonal,0.011488271388225208,0.0,4.817642697691918,1.0,0.018874010567378672,160
160m,empathy,0,early,linear_probe,0.034358452481683295,0.1512174927783219,23.00443808734417,0.8487825072216781,0.01058104481053301,320
160m,empathy,0,early,mean_diff,0.02911927225068207,0.05399812901904917,15.042499631643295,0.9460018709809509,0.010443618773570003,320
160m,empathy,0,early,random_orthogonal,0.03245122567750509,0.03228255041963135,17.161340788006783,0.9677174495803686,0.010231685704093203,320
