model_id,model_family,model_size_label,identity_frame,concept_axis,injection_site,layer_index,layer_bucket,vector_kind,alpha,axis_shift_mean,peak_displacement_mean,total_downstream_change_mean,end_of_pass_distance_mean,recovery_fraction_mean,next_token_kl_mean,next_token_js_mean,n
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,2,early,label_shuffled,-1.0,0.006162193392558342,8.077878952026367,820.0884027481079,0.1624055616557598,0.6007059915944597,2.069843590259552,0.34429100900888443,4
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,2,early,label_shuffled,1.0,0.0015795260847818568,0.6057403683662415,48.342343866825104,0.023401108104735613,0.10367775915114896,0.06522964872419834,0.01623281603679061,4
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,2,early,mean_diff,-1.0,0.006162193392558342,8.15441119670868,827.7303380966187,0.16419338807463646,0.5998500426295916,2.0950600802898407,0.3523760065436363,4
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,2,early,mean_diff,1.0,0.0015795260847818568,0.621999979019165,49.8258171081543,0.024251293390989304,0.09626940673296422,0.059898088686168194,0.014759386191144586,4
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,2,early,random_orthogonal,-1.0,0.0015795260847818568,0.8202711045742035,81.63030171394348,0.04132463876157999,0.004425246678000069,0.1604045145213604,0.04028019541874528,4
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,2,early,random_orthogonal,1.0,0.000952345657808132,0.7584733366966248,103.16454148292542,0.05702829547226429,0.0,0.2125258482992649,0.05324937403202057,4
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,9,late,label_shuffled,-1.0,0.0015795260847818568,0.33496516942977905,32.130579710006714,0.040210758335888386,0.025398001645955025,0.0660223700106144,0.01622800319455564,4
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,9,late,label_shuffled,1.0,0.0004553474953942283,0.5479771792888641,41.7738823890686,0.04507364612072706,0.28337166418288506,0.10317995026707649,0.02529003843665123,4
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,9,late,mean_diff,-1.0,0.0008075054059024792,0.333605095744133,32.621156215667725,0.041778748854994774,0.0026109985760102193,0.06782728247344494,0.016643179580569267,4
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,9,late,mean_diff,1.0,0.002034873580176085,0.5560523122549057,42.74885869026184,0.04650191683322191,0.27141296063081616,0.12392029352486134,0.029793852008879185,4
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,9,late,random_orthogonal,-1.0,0.014082871415347554,0.8303905427455902,87.02154016494751,0.12255137227475643,0.0,0.5099976882338524,0.1135788019746542,4
EleutherAI/pythia-160m,pythia,160m,tool_only,cautious_vs_assertive,last_prompt,9,late,random_orthogonal,1.0,0.006513790024611847,0.8494914770126343,89.31831073760986,0.12491338327527046,0.0,0.6136582642793655,0.12889552116394043,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,2,early,label_shuffled,-1.0,-0.007210983462711795,0.5701314061880112,77.0466080904007,0.062042240519076586,0.00010728396803466956,0.04963092319667339,0.014072674093768,4
