model_size_label,identity_frame,prompt_family,difficulty_name,n,seed_count,choose_self_baseline_mean,choose_self_baseline_ci95_low,choose_self_baseline_ci95_high,pair_valid_mean,pair_valid_ci95_low,pair_valid_ci95_high,style_distance_mean,style_distance_ci95_low,style_distance_ci95_high,semantic_overlap_mean,semantic_overlap_ci95_low,semantic_overlap_ci95_high
1b,family_self,comparison,negative_steer,40,5,0.34285714285714286,0.2,0.4857142857142857,0.875,0.775,0.975,1.0787280808478634,0.8701196184069451,1.2650880863945673,0.49389725425762554,0.3992754559217262,0.5984048595003164
1b,family_self,comparison,positive_steer,40,5,0.37142857142857144,0.22857142857142856,0.5428571428571428,0.875,0.775,0.975,1.279269875410605,1.0254831759427991,1.5513909433902262,0.511182474225591,0.3742196274178014,0.6355716317442139
1b,family_self,comparison,same_frame_resample,40,5,0.55,0.4,0.7,1.0,1.0,1.0,1.8703844878111433,1.7423267844745807,1.9833745492779236,0.39735780394251813,0.3569497094197983,0.43695598464707275
1b,family_self,critique,alt_frame,40,5,1.0,1.0,1.0,0.5,0.35,0.675,1.1692016947438693,0.8184411863207085,1.5784222879042233,0.5000000000000001,0.3250000000000001,0.6500000000000001
1b,family_self,critique,negative_steer,40,5,0.7,0.55,0.85,1.0,1.0,1.0,1.7977620648635955,1.6739309544793284,1.910311011990333,0.06164653813554529,0.044166113293590215,0.07940163418460167
1b,family_self,critique,positive_steer,40,5,0.4,0.25,0.55,1.0,1.0,1.0,1.2536888185605555,0.9997809182443133,1.4890691572171684,0.4219020118127316,0.31463617742597794,0.5377896431234451
1b,family_self,critique,same_frame_resample,40,5,0.5,0.34210526315789475,0.6578947368421053,0.95,0.875,1.0,2.0194594070145286,1.8918207016837894,2.139498768794733,0.13055564550167573,0.09868388495083809,0.1627007963544897
1b,family_self,diagnosis,alt_frame,40,5,0.45,0.3,0.6,1.0,1.0,1.0,0.7268362385012225,0.520727863863268,0.903500559619469,0.365714948678668,0.2682683763767105,0.479402616364285
1b,family_self,diagnosis,negative_steer,40,5,0.4857142857142857,0.34285714285714286,0.6571428571428571,0.875,0.775,0.975,1.3699894019279346,1.142260449236881,1.58432652958959,0.4276839235530243,0.3343110591406016,0.5284852968397535
1b,family_self,diagnosis,positive_steer,40,5,0.6,0.43333333333333335,0.7666666666666667,0.75,0.625,0.875,0.913050846141908,0.6259886678058002,1.2386082522485038,0.5596694382496341,0.41417066180867573,0.6985974135081068
1b,family_self,diagnosis,same_frame_resample,40,5,0.425,0.275,0.575,1.0,1.0,1.0,1.7945036364554485,1.6744068707456468,1.9106599095537642,0.3302192735492389,0.2828340900530367,0.3757742702984092
1b,family_self,judgment,alt_frame,40,5,0.475,0.324375,0.625,1.0,1.0,1.0,0.5207264210698885,0.37721878069275006,0.6437329699645786,0.5754185439223432,0.4497510599968006,0.7220306085021427
1b,family_self,judgment,negative_steer,40,5,0.5714285714285714,0.4,0.7149999999999961,0.875,0.75,0.975,1.4491019358562252,1.2438726242066227,1.6274321880676095,0.27270860127120733,0.173511548128054,0.38413831740162513
1b,family_self,judgment,positive_steer,40,5,0.5,0.35,0.65,1.0,1.0,1.0,1.2161644224295518,1.1328121048753232,1.2983111264194325,0.5082299021999089,0.4396432939630827,0.577500256368397
1b,family_self,judgment,same_frame_resample,40,5,0.525,0.375,0.675,1.0,1.0,1.0,1.913104206785856,1.800425280146988,2.0119668440837692,0.2776087110266022,0.23023651602455852,0.3237372618355048
1b,family_self,planning,alt_frame,40,5,0.525,0.375,0.675,1.0,1.0,1.0,1.4684007227156504,1.4684007227156504,1.4684007227156504,0.23918243661746996,0.23918243661746996,0.23918243661746996
1b,family_self,planning,negative_steer,40,5,0.4,0.13333333333333333,0.6666666666666666,0.375,0.225,0.525,0.6803067294571166,0.4047689724369918,0.9721738989471888,0.7263692523507163,0.609347055492986,0.8358215514104298
1b,family_self,planning,positive_steer,40,5,0.4,0.23333333333333334,0.5666666666666667,0.75,0.625,0.875,1.4514992010639902,1.1625000554624387,1.758781707980209,0.559279419313189,0.41766900665148404,0.6903086412830056
1b,family_self,planning,same_frame_resample,40,5,0.4594594594594595,0.2972972972972973,0.6216216216216216,0.925,0.825,1.0,1.686222377182895,1.556785079929751,1.8044170601476326,0.25953229043133386,0.21364917182175688,0.31723375683165483
1b,family_self,policy,alt_frame,40,5,0.525,0.375,0.675,1.0,1.0,1.0,1.9891897801170195,1.959311197019387,2.024048127064258,0.05206223989281842,0.03384045593033197,0.06768091186066394
1b,family_self,policy,negative_steer,40,5,0.525,0.374375,0.675,1.0,1.0,1.0,1.527238113573461,1.3141473924334162,1.723906516532733,0.45912098376040983,0.34741599909072834,0.5719464769189779
